soc,power,current,ocv,ir0,c_rate,line_voltage,power_out,deltaP,converged,iterations,error
1e-06,-100,-25.925925925925927,2.5,0.026102269188610108,5.281735467537292,3.1767254974824843,-82.35954993473108,-17.640450065268922,True,2,
1e-06,-75,-23.990698065980787,2.5,0.026102269188610108,4.172295315822746,3.1262116589408984,-75.0,0.0,True,2,
1e-06,-50,-16.98714083969647,2.5,0.026102269188610108,2.954285363425473,2.9434029229425898,-50.00000000000003,2.842170943040401e-14,True,2,
1e-06,-25,-9.129729813538647,2.5,0.02610226918861011,1.5877790980067212,2.738306665212265,-25.000000000000007,7.105427357601002e-15,True,2,
1e-06,0,0.0,2.5,0.026102269188610104,0.0,2.5,0.0,0.0,True,1,
1e-06,25,11.343478659159228,2.5,0.026102269188610104,1.972778897245083,2.203909466503372,24.999999999999996,3.552713678800501e-15,True,2,
1e-06,50,28.452209407359668,2.5,0.026102269188610108,4.948210331714725,1.757332771038393,50.0,0.0,True,2,
1e-06,75,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,100,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,125,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,150,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,175,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,200,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,225,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,250,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,275,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,300,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,325,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,350,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,375,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,400,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,425,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,450,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,475,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,500,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,525,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,550,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,575,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,600,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,625,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
1e-06,650,,2.5,0.026102269188610104,1.0,,,,False,1,No solution exists for discriminant 
