phase,time_sec,,disaDegC,weight,fuel,palt_m,palt_ft,ktas,kcas,dist_km,dist_nm,grad_deg,roc_mps,prop1_J,prop1_Cp,prop1_eta,prop1_thrust_N,prop1_rpm,prop1_power_W,turb1_FuelFlow_kgph,turb1_power_kW,turb1_JetThrust_N,,turb1_pla,gearBox1_PowerIn_W,gearBox1_PowerOut_W,motor1_1_powerOut_W,motor1_1_powerDraw_W,,,motor1_1_pla,prop2_J,prop2_Cp,prop2_eta,prop2_thrust_N,prop2_rpm,prop2_power_W,turb2_FuelFlow_kgph,turb2_power_kW,turb2_JetThrust_N,turb2_pla,gearBox2_PowerIn_W,gearBox2_PowerOut_W,motor2_1_powerOut_W,motor2_1_powerDraw_W,motor2_1_pla,prop3_J,prop3_Cp,prop3_eta,prop3_thrust_N,prop3_rpm,prop3_power_W,turb3_FuelFlow_kgph,turb3_power_kW,turb3_JetThrust_N,turb3_pla,gearBox3_PowerIn_W,gearBox3_PowerOut_W,motor3_1_powerOut_W,motor3_1_powerDraw_W,,motor3_1_pla,prop4_J,prop4_Cp,prop4_eta,prop4_thrust_N,prop4_rpm,prop4_power_W,turb4_FuelFlow_kgph,turb4_power_kW,turb4_JetThrust_N,turb4_pla,gearBox4_PowerIn_W,gearBox4_PowerOut_W,motor4_1_powerOut_W,motor4_1_powerDraw_W,motor4_1_pla,electricON,turbineON,fuelFlowSum_kgph,powerElecOutSum_W,powerElecDrawSum_W,powerTurbSum_W,propThrustSum_N,turbThrustSum_N,totalThrustSum_N,batt1_soc,batt1_temp_degC,batt1_voltage,,batt1_current,,batt1_power_W,,,,batt1_CRate,batt1_heatRate_W,batt1_eta,batt1_OCV,Cell_OCV,Cell_ir0,batt1_cooling_W,batt_minSOC,batt_minVoltage,mach,satDegC,cd,cl
start,0,,0,37689.81806,1133.308941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,25,635.9243243,,172.9730891,,109997.7948,109.9977948,182.1370604,72.13706041,0.067147938,700.8296317,0.993628694,642.4715156,,#DIV/0!,0,0.9,635.9243243,0,15,,
taxi-out,50,0.833333333,0,37689.81806,1133.308941,0,0,0.416666667,0.416666667,0,0,0,0,0,0,0,-0.006796379,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.006796379,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.006796379,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.006796379,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-0.027185517,0,-0.027185517,0.899544142,25.00044812,854.4459803,,84.54670249,,72240.5901,72.2405901,182.1370604,,0.032820925,53.75234184,0.999255926,855.12,,#DIV/0!,0,0.899544142,854.4459803,0.000629902,15,0,0
taxi-out,100,1.666666667,0,37689.81806,1133.308941,0,0,0.833333333,0.833333333,0,0,0,0,0,0,0,-0.027185517,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.027185517,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.027185517,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.027185517,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-0.108742069,0,-0.108742069,0.899088244,25.00089629,854.369362,,84.55428313,,72240.58893,72.24058893,182.1370604,,0.032823868,53.75975971,0.999255823,855.0434159,,#DIV/0!,0,0.899088244,854.369362,0.001259804,15,0,0
taxi-out,150,2.5,0,37689.81806,1133.308941,0,0,1.25,1.25,0,0,0,0,0,0,0,-0.061167414,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.061167414,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.061167414,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.061167414,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-0.244669656,0,-0.244669656,0.898632304,25.00134453,854.2927369,,84.5618658,,72240.58777,72.24058777,182.1370604,,0.032826811,53.76718004,0.999255721,854.9668249,,#DIV/0!,0,0.898632304,854.2927369,0.001889706,15,0,0
taxi-out,200,3.333333333,0,37689.81806,1133.308941,0,0,1.666666667,1.666666667,0,0,0,0,0,0,0,-0.108742069,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.108742069,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.108742069,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.108742069,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-0.434968277,0,-0.434968277,0.898176324,25.00179283,854.2161048,,84.56945051,,72240.58661,72.24058661,182.1370604,,0.032829756,53.77460283,0.999255618,854.8902271,,#DIV/0!,0,0.898176324,854.2161048,0.002519608,15,0,0
taxi-out,250,4.166666667,0,37689.81806,1133.308941,0,0,2.083333333,2.083333333,0,0,0,0,0,0,0,-0.169909483,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.169909483,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.169909483,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.169909483,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-0.679637933,0,-0.679637933,0.897720303,25.0022412,854.1394659,,84.57703727,,72240.58544,72.24058544,182.1370604,,0.032832701,53.78202809,0.999255515,854.8136224,,#DIV/0!,0,0.897720303,854.1394659,0.003149509,15,0,0
taxi-out,300,5,0,37689.81806,1133.308941,0,0,2.5,2.5,0,0,0,0,0,0,0,-0.244669656,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.244669656,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.244669656,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.244669656,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-0.978678624,0,-0.978678624,0.897264241,25.00268962,854.0628201,,84.58462607,,72240.58428,72.24058428,182.1370604,,0.032835647,53.78945581,0.999255412,854.7370108,,#DIV/0!,0,0.897264241,854.0628201,0.003779411,15,0,0
taxi-out,350,5.833333333,0,37689.81806,1133.308941,0,0,2.916666667,2.916666667,0,0,0,0,0,0,0,-0.333022587,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.333022587,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.333022587,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.333022587,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-1.332090349,0,-1.332090349,0.896808137,25.00313811,853.9861674,,84.59221691,,72240.58311,72.24058311,182.1370604,,0.032838594,53.796886,0.999255309,854.6603924,,#DIV/0!,0,0.896808137,853.9861674,0.004409313,15,0,0
taxi-out,400,6.666666667,0,37689.81806,1133.308941,0,0,3.333333333,3.333333333,0,0,0,0,0,0,0,-0.434968277,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.434968277,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.434968277,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.434968277,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-1.73987311,0,-1.73987311,0.896351993,25.00358666,853.9095079,,84.59980979,,72240.58195,72.24058195,182.1370604,,0.032841541,53.80431866,0.999255206,854.5837671,,#DIV/0!,0,0.896351993,853.9095079,0.005039215,15,0,0
taxi-out,450,7.5,0,37689.81806,1133.308941,0,0,3.75,3.75,0,0,0,0,0,0,0,-0.550506726,0,0,0,0,0,,-99,15000,3612.392704,15000,18034.2651,182.1370604,0.83175,0.15,0,0,0,-0.550506726,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,0,0,0,-0.550506726,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,,0.15,0,0,0,-0.550506726,0,0,0,0,0,-99,15000,3612.392704,15000,18034.2651,0.15,1,0,0,60000,72137.06041,0,-2.202026904,0,-2.202026904,0.895895809,25.00403527,853.8328414,,84.60740472,,72240.58078,72.24058078,182.1370604,,0.032844489,53.81175378,0.999255104,854.5071349,,#DIV/0!,0,0.895895809,853.8328414,0.005669117,15,0,0
