time_min,phase_name,altitude_ft,range_NM,eas_knots,tas_knots,vs_ft_min,cl,cd_total,cd0,cd_lift,lift_N,total_thrust_N,drag_N,weight_kg,gamma_percent,total_em_power_kW,total_gt_power_kW,total_fuel_flow_kg_h,fuel_used_kg,total_shaft_power_kW,phase_duration_min,string1_soc,,ir0,,string2_soc,string3_soc,string4_soc,string1_pack_voltage_V,string2_pack_voltage_V,string3_pack_voltage_V,string4_pack_voltage_V,string1_pack_current_A,string2_pack_current_A,string3_pack_current_A,string4_pack_current_A,string1_cell_voltage_V,string2_cell_voltage_V,string3_cell_voltage_V,string4_cell_voltage_V,string1_cell_power_W,string2_cell_power_W,string3_cell_power_W,string4_cell_power_W,string1_cell_current_A,string2_cell_current_A,string3_cell_current_A,string4_cell_current_A,string1_cell_ocv_V,string2_cell_ocv_V,string3_cell_ocv_V,string4_cell_ocv_V,string1_batt_power_kW,,string2_batt_power_kW,string3_batt_power_kW,string4_batt_power_kW,gearbox_power_in_nacelle1_kW,gearbox_power_in_nacelle2_kW,gearbox_power_in_nacelle3_kW,gearbox_power_in_nacelle4_kW,gearbox_power_out_nacelle1_kW,gearbox_power_out_nacelle2_kW,gearbox_power_out_nacelle3_kW,gearbox_power_out_nacelle4_kW,nacelle1_em_efficiency,nacelle2_em_efficiency,nacelle3_em_efficiency,nacelle4_em_efficiency,nacelle1_thrust_N,nacelle2_thrust_N,nacelle3_thrust_N,nacelle4_thrust_N,nacelle1_shaft_power_kW,nacelle2_shaft_power_kW,nacelle3_shaft_power_kW,nacelle4_shaft_power_kW,nacelle1_throttle,nacelle2_throttle,nacelle3_throttle,nacelle4_throttle,nacelle1_gt_power_kW,nacelle2_gt_power_kW,nacelle3_gt_power_kW,nacelle4_gt_power_kW,nacelle1_gt_throttle,nacelle2_gt_throttle,nacelle3_gt_throttle,nacelle4_gt_throttle,nacelle1_jet_thrust_N,nacelle2_jet_thrust_N,nacelle3_jet_thrust_N,nacelle4_jet_thrust_N,nacelle1_em_power_kW,nacelle2_em_power_kW,nacelle3_em_power_kW,nacelle4_em_power_kW,nacelle1_em_throttle,nacelle2_em_throttle,nacelle3_em_throttle,nacelle4_em_throttle,nacelle1_fuel_flow_kg_h,nacelle2_fuel_flow_kg_h,nacelle3_fuel_flow_kg_h,nacelle4_fuel_flow_kg_h,nacelle1_adv_ratio,nacelle2_adv_ratio,nacelle3_adv_ratio,nacelle4_adv_ratio,nacelle1_cp,nacelle2_cp,nacelle3_cp,nacelle4_cp,nacelle1_eta_calc,nacelle2_eta_calc,nacelle3_eta_calc,nacelle4_eta_calc,nacelle1_eta,nacelle2_eta,nacelle3_eta,nacelle4_eta
0,taxi,0,0,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.9,,,,0.9,0.9,0.9,854.5525411,854.5525411,854.5525411,854.5525411,21.09508382,21.09508382,21.09508382,21.09508382,4.069297815,4.069297815,4.069297815,4.069297815,0.767918805,0.767918805,0.767918805,0.767918805,0.188348963,0.188348963,0.188348963,0.188348963,4.072,4.072,4.072,4.072,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
1,taxi,0,0.416677617,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.899454058,0.899454061,0.014346694,3.33E-09,0.899454058,0.899454058,0.899454058,854.4898558,854.4898558,854.4898558,854.4898558,21.09535799,21.09535799,21.09535799,21.09535799,4.068999313,4.068999313,4.068999313,4.068999313,0.767918805,0.767918805,0.767918805,0.767918805,0.188351411,0.188351411,0.188351411,0.188351411,4.071879933,4.071879933,4.071879933,4.071879933,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
2,taxi,0,0.833355234,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.898908107,0.898908112,0.015293861,4.63E-09,0.898908107,0.898908107,0.898908107,854.4252741,854.4252741,854.4252741,854.4252741,21.09573244,21.09573244,21.09573244,21.09573244,4.068691781,4.068691781,4.068691781,4.068691781,0.767918805,0.767918805,0.767918805,0.767918805,0.188354754,0.188354754,0.188354754,0.188354754,4.0717319,4.0717319,4.0717319,4.0717319,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
3,taxi,0,1.25003285,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.898362145,0.898362151,0.016140386,5.93E-09,0.898362145,0.898362145,0.898362145,854.3588147,854.3588147,854.3588147,854.3588147,21.09620785,21.09620785,21.09620785,21.09620785,4.068375308,4.068375308,4.068375308,4.068375308,0.767918805,0.767918805,0.767918805,0.767918805,0.188358999,0.188358999,0.188358999,0.188358999,4.071556843,4.071556843,4.071556843,4.071556843,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
4,taxi,0,1.666710467,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.89781617,0.897816177,0.016890806,7.25E-09,0.89781617,0.89781617,0.89781617,854.2904984,854.2904984,854.2904984,854.2904984,21.0967847,21.0967847,21.0967847,21.0967847,4.068049992,4.068049992,4.068049992,4.068049992,0.767918805,0.767918805,0.767918805,0.767918805,0.188364149,0.188364149,0.188364149,0.188364149,4.071355709,4.071355709,4.071355709,4.071355709,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
5,taxi,0,2.083388084,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.897270178,0.897270187,0.017549608,8.56E-09,0.897270178,0.897270178,0.897270178,854.220348,854.220348,854.220348,854.220348,21.09746322,21.09746322,21.09746322,21.09746322,4.067715943,4.067715943,4.067715943,4.067715943,0.767918805,0.767918805,0.767918805,0.767918805,0.188370207,0.188370207,0.188370207,0.188370207,4.071129442,4.071129442,4.071129442,4.071129442,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
6,taxi,0,2.500065701,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.896724168,0.896724178,0.018121225,9.88E-09,0.896724168,0.896724168,0.896724168,854.1483882,854.1483882,854.1483882,854.1483882,21.09824343,21.09824343,21.09824343,21.09824343,4.067373277,4.067373277,4.067373277,4.067373277,0.767918805,0.767918805,0.767918805,0.767918805,0.188377173,0.188377173,0.188377173,0.188377173,4.070878984,4.070878984,4.070878984,4.070878984,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
7,taxi,0,2.916743317,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.896178136,0.896178147,0.018610042,1.12E-08,0.896178136,0.896178136,0.896178136,854.0746459,854.0746459,854.0746459,854.0746459,21.0991251,21.0991251,21.0991251,21.0991251,4.067022123,4.067022123,4.067022123,4.067022123,0.767918805,0.767918805,0.767918805,0.767918805,0.188385046,0.188385046,0.188385046,0.188385046,4.070605281,4.070605281,4.070605281,4.070605281,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
8,taxi,0,3.333420934,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.89563208,0.895632092,0.019020391,1.25E-08,0.89563208,0.89563208,0.89563208,853.9991497,853.9991497,853.9991497,853.9991497,21.10010778,21.10010778,21.10010778,21.10010778,4.066662618,4.066662618,4.066662618,4.066662618,0.767918805,0.767918805,0.767918805,0.767918805,0.18839382,0.18839382,0.18839382,0.18839382,4.070309274,4.070309274,4.070309274,4.070309274,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
9,taxi,0,3.750098551,25,25.00065701,0,,,,,,275.4818232,,37696.1543,0,60,0,0,0,60,,0.895085997,0.895086011,0.019356561,1.38E-08,0.895085997,0.895085997,0.895085997,853.9219303,853.9219303,853.9219303,853.9219303,21.10119081,21.10119081,21.10119081,21.10119081,4.066294906,4.066294906,4.066294906,4.066294906,0.767918805,0.767918805,0.767918805,0.767918805,0.188403489,0.188403489,0.188403489,0.188403489,4.069991908,4.069991908,4.069991908,4.069991908,18.06145028,,18.06145028,18.06145028,18.06145028,15,15,15,15,4.083148721,4.083148721,4.083148721,4.083148721,0.830498092,0.830498092,0.830498092,0.830498092,68.8704558,68.8704558,68.8704558,68.8704558,15,15,15,15,0.008046131,0.008046131,0.008046131,0.008046131,0,0,0,0,0,0,0,0,0.000687162,0.000687162,0.000687162,0.000687162,15,15,15,15,0.012469222,0.012469222,0.012469222,0.012469222,0,0,0,0,0.197317537,0.197317537,0.197317537,0.197317537,0.000766642,0.000766642,0.000766642,0.000766642,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001,0.300000001
