table,data_type,weight_lbm,OAT_C,FL,altitude_ft,KIAS,KTAS,TRQ_percent,fuel_flow_lbph,time_min,dist_NM,fuel_lb,RPM,unit_shaft_power_kW,unit_thrust_N
Table_2c,ISC,42000,15.0,0,0,239,239,39.5,2311,,,,850,1244.8,7399.5
Table_2c,ISC,42000,11.0,20,2000,236,243,39.2,2219,,,,850,1235.3,7192.6
Table_2c,ISC,42000,7.1,40,4000,234,247,39.4,2143,,,,850,1241.6,7092.3
Table_2c,ISC,42000,3.1,60,6000,232,253,39.8,2080,,,,850,1254.2,6953.1
Table_2c,ISC,42000,-0.8,80,8000,230,258,40.0,2024,,,,850,1260.6,6830.8
Table_2c,ISC,42000,-4.8,100,10000,246,284,48.7,2207,,,,850,1534.7,7396.4
Table_2c,ISC,42000,-8.8,120,12000,243,290,48.8,2136,,,,850,1537.9,7211.2
Table_2c,ISC,42000,-12.7,140,14000,241,295,48.8,2069,,,,850,1537.9,7065.7
Table_2c,ISC,42000,-16.7,160,16000,239,302,49.4,2024,,,,850,1556.8,6946.9
Table_2c,ISC,42000,-20.7,180,18000,235,307,49.0,1965,,,,850,1544.2,6752.6
Table_2c,ISC,42000,-24.6,200,20000,232,312,48.5,1911,,,,850,1528.4,6555.8
Table_2c,ISC,42000,-28.6,220,22000,226,314,47.1,1832,,,,850,1484.3,6309.0
Table_2c,ISC,42000,-32.5,240,24000,219,315,45.3,1742,,,,850,1427.6,6043.8
Table_2c,ISC,42000,-34.5,250,25000,215,315,44.0,1686,,,,850,1386.6,5869.9
Table_2c,ISC,46000,15.0,0,0,240,240,40.4,2339,,,,850,1273.1,7518.9
Table_2c,ISC,46000,11.0,20,2000,237,244,40.4,2253,,,,850,1273.1,7370.5
Table_2c,ISC,46000,7.1,40,4000,236,249,40.9,2184,,,,850,1288.9,7284.1
Table_2c,ISC,46000,3.1,60,6000,234,255,41.2,2123,,,,850,1298.3,7113.8
Table_2c,ISC,46000,-0.8,80,8000,232,260,41.4,2066,,,,850,1304.6,6995.0
Table_2c,ISC,46000,-4.8,100,10000,247,285,49.9,2238,,,,850,1572.5,7547.6
Table_2c,ISC,46000,-8.8,120,12000,244,291,49.7,2163,,,,850,1566.2,7313.6
Table_2c,ISC,46000,-12.7,140,14000,243,298,50.7,2118,,,,850,1597.7,7236.0
Table_2c,ISC,46000,-16.7,160,16000,243,308,52.3,2109,,,,850,1648.1,7169.5
Table_2c,ISC,46000,-20.7,180,18000,239,312,51.7,2048,,,,850,1629.2,6988.3
Table_2c,ISC,46000,-24.6,200,20000,234,315,50.6,1973,,,,850,1594.5,6760.9
Table_2c,ISC,46000,-28.6,220,22000,228,317,49.0,1888,,,,850,1544.2,6495.5
Table_2c,ISC,46000,-32.5,240,24000,220,316,46.5,1778,,,,850,1465.4,6179.4
Table_2c,ISC,46000,-34.5,250,25000,215,315,45.2,1721,,,,850,1424.5,6030.7
Table_2c,ISC,50000,15.0,0,0,241,242,41.7,2379,,,,850,1314.0,7678.7
Table_2c,ISC,50000,11.0,20,2000,239,246,41.9,2294,,,,850,1320.4,7565.9
