DISA,Altitude,Mach,FRAC,power_kW,FuelFlow_kgph,JetThrust_N
0,0.0,0.0,0.0,0.0,121.2605284000726,0.0
0,0.0,0.0,0.5,436.399618664,230.3243939025674,455.92384968312
0,0.0,0.0,0.6,523.68694585,247.3470268040461,506.63902899372
0,0.0,0.0,0.7,610.9789176319999,265.9774745734374,561.6277200156
0,0.0,0.0,0.8,698.25272133,284.9554324697451,619.9904125968
0,0.0,0.0,0.9,785.528620542,304.0663986733194,678.86430351684
0,0.0,0.0,1.0,872.819726964,323.0268813431915,738.9724954189201
0,0.0,0.05,0.0,0.0,122.0368732760592,0.0
0,0.0,0.05,0.5,436.408179014,230.2699541721855,396.37399835544
0,0.0,0.05,0.6,523.685079358,247.2955428866007,443.85394277784
0,0.0,0.05,0.7,610.964210242,265.9224781134899,495.64207723464
0,0.0,0.05,0.8,698.261099656,284.8984088592035,550.8141327813601
0,0.0,0.05,0.9,785.5321722479999,304.00789013871,606.71084340006
0,0.0,0.05,1.0,872.817905232,322.9608911117663,663.93294564996
0,0.0,0.1,0.0,0.0,121.0471961803502,0.0
0,0.0,0.1,0.5,436.422385092,230.1234828340742,336.88543460292
0,0.0,0.1,0.6,523.6951414060001,247.1412048193777,381.10513179606
0,0.0,0.1,0.7,610.972952616,265.7580318958541,429.7081939416
0,0.0,0.1,0.8,698.263011654,284.7379603341196,481.69466118354
0,0.0,0.1,0.9,785.526707798,303.8352483004627,534.6117894621
0,0.0,0.1,1.0,872.827011654,322.7720021270072,588.95590671666
0,0.0,0.15,0.0,0.0,123.3038587718407,0.0
0,0.0,0.15,0.5,436.40011923,229.834823700626,277.3117764018
0,0.0,0.15,0.6,523.684213998,246.8670510642293,318.38051913108
0,0.0,0.15,0.7,610.959884934,265.4835071436088,363.7613085015
0,0.0,0.15,0.8,698.252767582,284.4757711183889,412.56432703248
0,0.0,0.15,0.9,785.54856336,303.5398213939944,462.5139498882
0,0.0,0.15,1.0,872.8144452839999,322.4487916081829,513.93658300404
0,0.0,0.2,0.0,0.0,120.9681569564547,0.0
0,0.0,0.2,0.5,436.40913464,229.4699089911095,217.74982591572
0,0.0,0.2,0.6,523.671146316,246.4553495505761,255.56846780556
0,0.0,0.2,0.7,610.962844316,265.1093263956274,297.80302227354
0,0.0,0.2,0.8,698.222943248,284.1107562911186,343.34698125
0,0.0,0.2,0.9,785.501119252,303.1294050367413,390.38136081966
0,0.0,0.2,1.0,872.7954125860001,321.9910027111495,438.85926339906
0,0.0,0.25,0.0,0.0,121.1087601778101,0.0
0,0.0,0.25,0.5,436.417376448,228.9730002513835,158.01647216838
0,0.0,0.25,0.6,523.692591578,245.9348551265536,192.63223997052
0,0.0,0.25,0.7,610.9673978999999,264.6387453502677,231.71712995844
0,0.0,0.25,0.8,698.255362916,283.7130183970789,274.10218105368
0,0.0,0.25,0.9,785.5348130880001,302.6191329160845,318.10922219328
0,0.0,0.25,1.0,872.819453928,321.4459508992108,363.77114796414
0,0.0,0.3,0.0,0.0,126.2657793592489,0.0
0,0.0,0.3,0.5,436.411183902,228.3359168317155,98.08669392228
0,0.0,0.3,0.6,523.697145162,245.360905775288,129.5831874834
0,0.0,0.3,0.7,610.9575171299999,264.049005464302,165.51612215796
0,0.0,0.3,0.8,698.249534418,283.1571155048535,204.77647218378
0,0.0,0.3,0.9,785.513776634,301.9941562591854,245.73524157
0,0.0,0.3,1.0,872.810893578,320.7799984784542,288.48555380232
0,0.0,0.35,0.0,3.980222574,121.5728452651728,0.0
